index,Name,Type (Food Specialty),Location (Province),Locaton (Add-ons),Ratings (Stars),Operation time,Contacts (Tel.),Details (Comment/Desc)
32,ตำหนัก อาหารอีสานรสแซ่บ (LINE: @Tumnuk) (TUMNUK RESTAURENT),อาหารอีสาน,กรุงเทพมหานคร,ถนน เพชรอุทัย แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,3.90,09:00 - 22:00,0972988558,ร้านตำหนักนี่เราใช้บริการสั่งไลน์แมนมาทานที่บ้านบ่อยมากๆค่ะ เมนูที่สั่งนี้เป็นเมนูเดิมๆตลอด คือปลาทับทิมเผาเกลือ ตำซั่ว ตำป่า และตำข้าวโพดไข่เค็ม รสชาตินิ่งอร่อยเหมือนกันทุกครั้ง แต่เสียดายรอบนี้ข้าวโพดมันบูดแล้ว ทางร้านน่าจะไม่ได้เชค ทำให้ตำข้าวโพดไข่เค็มของเราต้องเททิ่งไป
33,ส้มตำกุหลาบ เจ้าเก่า,อาหารอีสาน,เชียงใหม่,"107, ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300",3.90,09:00 - 16:00,0613456550,"ร้านอาหารอิสานเล็กๆริมถนนโชตนา(ขาเข้าเมืองเชียงใหม่) ก่อนถึงหมู่บ้านศิวาลัย ด้านหน้าร้านประกาศศักดากันด้วยเตาปิ้งไก่ย่างอันหอมหวล ดึงดูดให้เข้าไปอย่างยิ่ง เมนูมีสารพัดส้มตำ ไทย ลาว ปลาร้า ปู หมูยอ หอย ฯลฯ ต้มแซบ ซุปหน่อไม้ น้ำตก และไก่ย่างในราคาย่อมเยา

มื้อนี้ สั่งไก่ย่างสุกกำลังดี ส้มตำรสอ่อนปลาร้าไปหน่อย เสือร้องไห้(เนื้อย่าง)สมชื่อ...เหนียวพอควร แต่ถูกใจหมูน้ำตกที่สุดรสแซ่บกลมกล่อม"
34,"แจ่วฮ้อนโบราณ,หมูกะทะ ,ส้มตำ ,ยำ ,อาหารอีสาน","อาหารอีสาน, หมูกะทะ",กรุงเทพมหานคร,ถ. จรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,4.40,17:00 - 23:59,0646392461,"วันนี้สั่งชุดใหญ่ ราคา 480 บาท ถือว่าให้เยอะอยู่ หมู เนื้อ ชิ้นใหญ่ดี ทานแล้วเต็มปากเต็มคำ ถ้าเป็นคนทานเยอะๆ สั่งชุดใหญ่น่าจะอิ่มมาก สำหรับสองคน แต่วันนี้ทาน 4 คน ถือว่าอิ่มแต่ไม่มากครับ

สั่งยำกุ้งสด กับยำไส้กรอก หมูยอมาด้วย วัตถุดิบคุณภาพดี ทั้งตัวกุ่งและไส้กรอกหมูยอเลย รสชาติยำเข้มข้นอยู่ แต่วันนี้สั่งเผ็ดน้อย รสชาติจะออกไปแนวเปรี้ยวหวาน

ที่ชอบร้านนี้คือมีน้ำจิ้มให้เลือกสามอย่าง อร่อยทุกอย่างเลย

ให้4ดาวเพราะรู้สึกว่าให้น้อยไปนิดนึงสำหรับชุดใหญ่ ถือว่าไม่ได้แพง แต่ถ้าให้เยอะก่านี้อีกนิด เอาไปเรย 5ดาวจ้า"
35,ต้นน้ำ อาหารอีสาน เชียงใหม่,อาหารอีสาน,เชียงใหม่,313 ซอย ป่าตัน 9 ตำบล สันผีเสื้อ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,4.00,10:00 - 21:00,0877171352,"เป็นร้านโปรดอีกร้านที่ชอบมาก โดยการตกแต่งอาจจะดูทั่วไปบ้านๆ แต่วิวติดแม่น้ำปิงคือดีงาม
ที่จอดรถด้านในได้ประมาณ 2-3 คัน เวลาออกอาจจะยากหน่อย หรือใครไม่กล้าเสี่ยงก็จอดเลยไปหน่อยตามข้างทางแล้วเดินย้อนกลับมาเอานะคะ เพราะร้านติดทางโค้งจอดหน้าร้านอาจจะไม่ดีนัก
เป็นร้านที่ขายเมนูเด็ดที่แนะนำคือ
ผัดหมี่โคราชเส้นนุ่ม
ส้มตำลาวที่กินแล้วรสร้าถึงใจ
หมูทอดเกลือ ทอดสามชั้นมาได้กรอบมากๆ
ส่วนเมนูอื่นๆ ก็อร่อยเช่นกัน ต้องลองค่ะทุกคน"
36,ส้มตำป้าเต่าซุปเปอร์แซ่บ (SOM TAM PA TAO Super Zabb RESTAURANT),อาหารอีสาน,เชียงใหม่,46-5 ถ. ราชดำริ ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,3.60,10:00 - 19:30,0996493692,ร้านนี้เคยมากินแล้วเมื่อหลายปีก่อน อย่างครั้งนี้มากินแบบก่อนเคอร์ฟิว แบบโต๊ะสุดท้าย ถึงกับทางร้านกำลังจะเก็บร้าน ได้เอาของออกมาทำให้ใหม่ อย่างเมนูที่สั่งอย่างส้มตำปูปลาร้า รสชาติดี ส่วนยำหมูยอรสแซ่บ ลาบอีสานออกเปรี้ยวไปนิดแต่โอเค หมูแดดเดียวให้เยอะมาก ถึงต้อวเอากลับมากินที่บ้าน ที่สำคัญราคาไม่แพง
37,ร้านลาบเป็ดยโสบ้านสร้างแต้ตลาดพิบูลย์วิทย์ 4 ติดเซ็นทรัลพระราม 2,อาหารอีสาน,กรุงเทพมหานคร,แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,3.60,16:00 - 23:00,0860472633,อร่อยเกินความคาดหวัง ต้มแซบรสชาติถูกปากมากเลยค่ะ เนื้อหมูก็เปื่อยกำลังดี ลาบเป็ดดีมากๆ ร้านหาง่ายใกล้ตลาดข้างเซ็นทรัล ที่นั่งกว้างขวางแต่ถ้าฝนตกคนอาจจะน้อยหน่อย ราคาก็ไม่แพงค่ะ พนักงานสุภาพดี คราวหน้าจะสั่งส้มตำหรือแจ่วฮ้อนด้วย
38,ครัวพรศักดิ์,อาหารอีสาน,กรุงเทพมหานคร,2202 ถ. พัฒนาการ แขวงประเวศ เขต ประเวศ กรุงเทพมหานคร 10250,3.60,09:00 - 23:00,0861785316,"ร้านนี้มีที่จอดรถอยู่หลังร้านประมาณ 4-5 คัน จริงๆริมถนนก็สามารถจอดได้ สบายกว่าด้วยเพราะอยู่หน้าร้านเลย
ร้านนี้มีโซนห้องแอร์ และโซนไม่ติดแอร์ พนักงานไม่ค่อยสนใจสักเท่าไหร่ อาหารบางอย่างก็เร็วบางอย่างก็ช้ามากๆ
เมนูที่นี่หลักๆจะเป็นพวกส้มตำอาหารอีสาน แต่มีเมนูอย่างอื่นด้วยก็นับว่าค่อนข้างหลากหลายอยู่
เมนูที่สั่งครั้งนี้
- ส้มตำไทยไข่เค็ม สั่งมาแบบไม่เผ็ด แต่มันเผ็ดมากๆสำหรับเรา เลยไม่แน่ใจว่ารสชาดโอเคหรือเปล่าเพราะได้แต่รสเผ็ดเท่านั้น
- ลาบหมู มีเนื้อเยอะมันค่อนข้างน้อย รสชาติโอเค
- ไส้ย่าง ตอนนี้กว่าจะมาเราก็กินอีก 2 จานแทบอิ่มแล้ว แต่ไส้ย่างจานนี้อร่อยดี ย่างมาค่อนข้างแห้ง แต่ไม่เหนียว ไม่เหม็น"
39,บุรินทร์ หมูตุ๋น อาหารอีสาน,"อาหารอีสาน, ซีฟู๊ด",กรุงเทพมหานคร,WJP6+7X7 กรุงเทพมหานคร ดอนเมือง จังหวัด กรุงเทพมหานคร 10210,4.30,11:00 - 19:00,0870971193,"บอกเลยว่า อร่อยทุกอย่าง เมนูที่ห้ามพลาดคือ เหลาปูม้า เมนูนี้แนะนำมากๆ อร่อยตัวลอย แนะนำเลยว่า เมนูนี้ควรโทรจองก่อนนะคะ เพราะของมักจะหมดเร็ว เมนูต่อมาที่เราเพิ่งจะเคยกิน แล้วคือติดใจมาก ปลาตะเพียนทอด คือกรอบกินได้ทั้งตัว ไม่อมน้ำมัน ดีจริงค่ะ ของทอดร้านนี้มีดีค่ะ อีกจานก้อจะเป็น สามชั้นทอด หมูชิ้นอวบ ทอดมาเหลืองทอง น่ากินและอร่อยค่ะ อีกเมนูนึงที่เราไม่เคยพลาดคือ ลาบปลาหมึก ปลาหมึกชิ้นใหญ่ เคี้ยวเต็มปากเต็มคำ ปั้นข้าวเหนียวจิ้มน้ำลาบ ดีที่สุดค่ะ

ปล. ร้านไม่สวยงามนะคะ เป็นเพิงๆค่ะ เอาจริงๆดูไม่ค่อยน่านั่ง แต่อาหารเค้าอร่อยจนเราอยากบอกต่อค่ะ ถ้าไปติดพักกลางวัน แนะนำให้โทรจองโต๊ะ พร้อมสั่งอาหารไว้เลยค่ะ เพราะคนเยอะ อาหารจะออกช้าค่ะ"
40,ส้มตำครัวขันทองหาดใหญ่ ซ.5 ทุ่งรี (ส้มตำครัวขันทอง),อาหารอีสาน,สงขลา,19-41 ซอย 5 บ้านทุ่งรี ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110,3.90,10:30 - 20:30,0818967769,มาอีกละจ้าาาา วันนี้มาหลายคน ทุกคนหิวและต้องการปลาร้า สั่งหลายอย่างแต่ทุกอย่างล้วนเสิร์ฟเร็ว คอหมูย่าง ไก่ย่าง มีความwell doneแต่เนื้อฉ่ำสุดๆ ติดมันไม่เยอะทำให้ไม่เลี่ยน เสิร์ฟพร้อมน้ำจิ้มแจ่ว ข้าวคั่ว ทุกอย่างกรุบกริบมาก และวันนี้มาลองเมนูใหม่คือลาบเป็ด ซึ่งปกติไม่กินเพราะไม่ถูกกับกลิ่น แต่วันนี้เพื่อนบอกให้ลอง แค่คำเดียว โลกของเรากับเป็ดก็เปลี่ยนไป... อร่อย ไม่เหนียวหมือนที่คิด ส่วนยำปลาดุกฟู ไม่ต้องพูดเยอะ งานsignatureอยู่แล้ว มาแล้วไม่สั่งเหมือนมาไม่ถึง พ่อครัวทำเร็วมาก สั่งปุ๊บ ได้ยินเสียงสับเนื้อปลาปั๊บ ประทับใจ กดไป5ดาว
41,โย่ง แซ่บเลยอาหารอีสานรสแซ่บ,"อาหารอีสาน, ซีฟู๊ด",กรุงเทพมหานคร,ถ. พระรามที่ 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,3.90,16:00 - 23:59,0879317769,ร้านส้มตำจิ้มจุ่ม มีหมูกระทะด้วย รายการอาหารหลากหลาย รสชาติเผ็ดนัว หอมสมุนไพร จานใหญ่ราคาไม่แพง บริเวณร้านกว้างขวางกันสบายมีทีวีมีฟุตบอลให้ดูด้วย เมนูเเนะนำ คือเป็ดย่างและลาบให้มาเยอะพูนพูนเลยเนื้อดีอร่อย คอหมูย่างกย่างมาได้ดี นุ่มหนึบเด้ง จิ้มจุ่ม น้ำหอมสมุนไพร จอดรถข้างทางหน้าร้านได้เลย
42,เจ๊นิวตำซาดิสต์,อาหารอีสาน,กรุงเทพมหานคร,173 ซอย สุขุมวิท 93 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,3.60,10:00 - 22:00,0649278341,"เคยสั่งผ่านไลน์แมน วันนี้ขอมาลองที่ร้านเลย ซึ่งก็ไม่เจอใครมานั่งกินเลย เห็นแต่ไรเดอร์มาซื้อ ที่นั่งเลยกลายเป็นที่เตรียมอาหารซะเลย น้องๆพนักงานต้อนรับดี รีบยกของลง แล้วเช็ดโต๊ะเพื่อต้อนรับ

เมนูอาหารเยอะดี แต่วันที่ไปปลาแซลมอนหมด เลยสั่งส้มตำปูปลาร้า ตำป่า ตำไหลบัวกุ้งสด ไส้ย่าง ไก่ย่าง หมูแดดเดียว รสชาติตำจัดจ้านดี พวกของย่าง ของทอดรสชาติกลางๆ ไม่เค็มเลย เหมาะกับไว้กินกับส้มตำมาก แต่ยำวุ้นเส้นเปรี้ยวปรี้ดมาก น่าจะเป็นน้ำมะนาวปลอมหรือเปล่า ไม่แน่ใจ โดยรวมถือว่าโอเค"
43,ออนซอนเด้ แจ่วฮ้อน อาหารอีสาน,"อาหารอีสาน, แจ่วฮ้อน, จิ้มจุ่ม",ฉะเชิงเทรา,359-10 ถนน ประชาสรรค์ ตำบล หน้าเมือง อำเภอเมืองฉะเชิงเทรา ฉะเชิงเทรา 24000,4.00,15:00 - 22:00,0926476656,"เป็นร้านที่เปิดมาไม่นานมาก เป็นร้านอาหารอีสาน ส้มตำต่าง ๆ แจ่วฮ้อน แบบหมู เนื้อ ทะเล ทางร้านจะมีผักสดให้หยิบเป็นผักสดแบบทานกะส้มตำ เมนูทางร้านหลากหลาย
- ส้มตำไขปลาหมีก ใส่ไข่ปลาหมึกลวกมาให้พอสมคร รสชาตอร่อยดี
- แจ๋วฮ้อน หมูรวม สั่งเนื้อใบพายเพิ่ม รสชาติน้ำซุปจะเหมือนใส่ผงพะโล้นิด ๆ หอมดี น้ำจิ้มที่ทานคู่จะเป็นเหมือนน้ำจิ้มแจ่วที่ทานกะพวกของย่าง
- คอหมูย่าง ย่างมาหอมดี
รวม ๆ อร่อยดีค่ะ"
44,ครัวอีสานกลางกรุง ซอย 9 (Krua Esan Klangkrung soi 9),อาหารอีสาน,กรุงเทพมหานคร,136-3 ถ. ประดิพัทธ์ แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,4.00,07:30 - 15:00,0869017728,"ครัวอีสานกลางกรุง - ร้านอาหารริมถนนประดิพัทธ์ช่วงปากซอยประดิพัทธ์ 9 นี้มีชื่อเต็มๆตามป้ายร้านว่า “ครัวประดิพัทธ์ 3 อีสานกลางกรุง The Signature” ทำให้เดาได้ไม่ยากว่าเป็นเครือเดียวกันกับร้านข้าวต้มเจ้าเก่าแก่ชื่อดังของย่านนี้นั่นเอง แต่เพิ่มเติมอาหารอีสานทั้งส้มตำ น้ำตก จิ้มจุ่ม..ฯลฯ เข้ามาในเมนูให้หลากหลายขึ้น สำหรับครั้งนี้เราแวะมาที่ร้านเพราะโปรแรงๆกระแทกใจ 3 ต่อนี้เลย

ต่อที่ 1 : ปลากระพงทอดน้ำปลา จากราคาเต็ม 400- ลดเหลือ 299-

ทางร้านระบุชัดเจนว่าคัดไซส์ปลาขนาดจัมโบ้ 1-1.2 กิโล ซึ่งที่ได้มาก็ใหญ่จริงล้นจาน เนื้อปลาหนาฟู คุ้มมากเว่อร์ ฝีมือทอดดีจริง กรอบนอกนุ่มในแม้จะไม่ได้ทานทันที (ก็เพราะช่วงนี้ห้ามนั่งทานที่ร้านนั่นล่ะ) น้ำยำมะม่วงรสเป๊ะเลย อร่อยค่ะ โปรนี้จะแวะมาซื้อเองหรือกดสั่งในแอพ delivery ต่างๆก็ได้ราคานี้เหมือนกันนะ

ต่อที่ 2 : ซุปเปอร์ขาไก่ จากราคาเต็ม 100- ลดเหลือ 49- (ราคานี้สำหรับลูกค้าที่สั่งปลากระพงทอดน้ำปลา และมารับเองที่ร้านเท่านั้นจ้า)

เป็นที่รู้กันว่านี่คือเมนูเด็ดซิกเนเจอร์ของร้านครัวประดิพัทธ์ทุกสาขา ยิ่งมีโปรด้วยก็ยิ่งต้องจัด เนื้อไก่มีทั้งปีก น่องเล็ก และตรีน ตุ๋นจนนุ่ม น้ำแกงหอมกลิ่นซีอิ๊ว ปรุงรสเปรี้ยวเผ็ดติดหวานปลายๆสมดุลกันดี ซดคล่องคอดีมากๆ ปริมาณที่ตักให้มาเรียกได้ว่าชวนตื่นตะลึงเมื่อเทียบกับราคาโปร คือต้องงัดเอาชามใบใหญ่ที่สุดในบ้านมาใช้กันเลยทีเดียวค่ะ

ดูในหน้า FB ของร้าน โปรนี้มีอยู่ถึงวันที่ 25 ก.ค. 2564 นี้เท่านั้น (แต่ถ้าฟีดแบคดีอาจจะมีต่อเวลา อันนี้ต้องลองติดตามเอานะ)

ต่อที่ 3 : ร้านรับ “คนละครึ่ง” ด้วยนะ ที่ลดอยู่แล้วก็ลดต่อไปได้อีกฟินๆเลย

เมนูอื่นๆที่สั่ง
กุยช่ายขาวเต้าหู้

เต้าหู้ไข่นุ่มๆทอดผิวนอก ผัดกับกุยช่ายขาวและหมูสับ สไตล์การผัดร้านนี้จะไม่ได้มีกลิ่นหอมกระทะมากนัก แต่ว่ารสชาติเข้มข้นน้ำขลุกขลิก อร่อยไปอีกแบบ

ข้าวผัดหมู

รสชาติธรรมดา แต่ชอบที่ใช้หมูสับละเอียดผัดเคล้าไปกับข้าวแทนการใช้หมูชิ้น ได้รสเนื้อหมูสม่ำเสมอทั่วถึงดีค่ะ

ก็เป็นร้านหนึ่งที่ทั้งรสชาติ วัตถุดิบ และราคาคือดีต่อใจ แต่สังเกตว่าร้านยังไม่ค่อยเป็นที่รู้จักเท่าไหร่ น่าจะเป็นเพราะการปักหมุดใน google map ที่ค่อนข้างสับสน ไม่ตรงกับชื่อร้าน พาลทำให้ไม่มีรีวิวไปเลย ใครสะดวกย่านนี้ลองแวะจัดดูได้ค่ะ"
45,Saolao (ซาวน์ลาว) - ส้มตำอาหารอีสาน,"อาหารอีสาน, ซีฟู๊ด, หมูกะทะ",กรุงเทพมหานคร,682 52 ถ. เทพรักษ์ แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,4.00,17:00 - 23:00,0842826464,"ใครสายหมูกระทะมารวมกันตรงนี้เลย หมูกะทะร้านดังจากย่านอารีย์-สะพานควาย ตอนนี้มีเปิดสาขาใหม่ที่ย่านวัชรพลแล้วนะ ร้านชื่อโคตรน่ารัก ""หมูหมึกกุ้ง""

พิกัดอยู่ในตลาดต้นไม้หัวมุม ใกล้กับสุกี้ตี๋น้อยสาขาวัชรพล ที่อารีย์จะเป็นฟีลหมูกระทะบรรยากาศ rooftop ดูรถไฟฟ้า สาขานี้จะเป็นธีม หมูกระทะ in the garden สวนน่ารักๆ เพราะอยู่ในตลาดต้นไม้ด้วย
 เราไปกัน 11 คน สั่งชุดใหญ่มา 3 เตาเลย ชุดใหญ่ 589.- มีครบหมด หมูหมัก หมูสามชั้น เบคอน ตับ ไก่ กุ้ง ปลาหมึก ไข่ไก่ ชุดผักเล็ก หมึกกรอบ ขนาดประมาณกินได้ 3-4 คน
 ตอนกินอย่าลืมตอกไข่ใส่ซุปรอบๆนะอร่อย ที่ร้านมีน้ำจิ้มทั้งหมด 4 แบบ เลือกตักเองได้เลย และมีสูตรความอร่อยทั้งใส่พริกและกระเทียมด้วย ส่วนทีเด็ดสุดของร้านก็ น้ำจิ้มไข่ดองซีฟู้ด ที่ต้องถ่ายรูปเช็กอินร้านก่อน โพสต์ลงช่องทางไหนก็ได้ ถึงจะแลกรับฟรีจ้า บอกเลยว่าน้ำจิ้มไข่ดองเด็ดสุด ดีงามมากกก
 เราว่าราคาดีงามอยู่นะ หารรวมกันแล้วตกคนละไม่ถึง 200 บาท อร่อยต้องไปลองจ้า
 หมูหมึกกุ้ง in the garden, ตลาดต้นไม้หัวมุม มีที่จอดรถในโครงการ"
46,ตำแหลก ตูกะสู อาหารอีสาน (Tamlaang tu ga soo),อาหารอีสาน,สงขลา,ทางหลวงชนบท อำเภอหาดใหญ่ สงขลา 90110,4.10,10:00 - 16:30,0989916459,"it looks like a Bali style interior, a good place to bring guests to eat Kanom Jeen.

you may order ala carte curry, or there have set for selections. if I’d not mistaken: set THB199 has 3-kind curry…and there have the higher range of sets as well. Otherwise, just order single dish as you wish. I’d also ordered fried prawn, it’s marinated with 5-spice herbs.

Overall the price is slightly above price but consider part of the environment cost."
47,Khon Jham (ขอนแจ่ม) (ขอนแจ่ม),อาหารอีสาน,ขอนแก่น,22-45 ถนน ศิลปสนิท ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,5.00,11:00 - 22:00,0967702262,"แค่ชื่อร้านก็แจ่มแมวแล้ว
ร้านอาหารอีสานห้องเดียวเล็ก ๆ แต่คุณภาพ รสชาติ ยิ่งใหญ่ ด้วยฝีมือแม่ครัวชั้นครู
ทั้งลาบ ก้อย ต้ม ส้มตำ มีแทบทุกเมนู รสชาติจัดจ้าน
โดยเฉพาะเสือร้องไห้ที่ขึ้นชื่อ แนะนำให้ไปลองจ้า"
48,ลาปคุณจอย,อาหารอีสาน,กรุงเทพมหานคร,"594/1009 ถนน แก้วเงินทอง Khlong Chak Phra, Taling Chan, Bangkok 10170",4.90,14.00 - 21.00,0813032041,"Khun Joy's restaurant, the food is very good, the woman cooks Isan food. The man cooks to order, both are delicious, but you have to be patient, not so fast and there is a long queue."
49,ร้านลาบอำนาจเจริญ,อาหารอีสาน,กรุงเทพมหานคร,"143/313 Borommaratchachonnani Frontage Rd, Arun Amarin, Bangkok Noi, Bangkok 10700",4.10,9.00 - 19.00,0999201654,มีแบบนี้อยู่หน้าบ้าน เดินไม่ถึง 3 ก้าว ฉันควรทำเช่นไร แล้วอร่อยด้วยไงประเด็น
50,สามแซ่บอาหารอีสาน,อาหารอีสาน,กรุงเทพมหานคร,"437, 587 ซอยแยก16 Bang Khun Si, Bangkok Noi, Bangkok 10700",5.00,5.00 - 17.00,0854363421,"ไก่ทอด ปลาดุกย่าง ลาบหมู,ไก่,หัวหมู,น้ำจิ้มแซ่บมาก,อร่อยทุกอย่าง"
51,ส.อีสานลาบอุบล,อาหารอีสาน,กรุงเทพมหานคร,"403, 108 Charan Sanit Wong Rd, Bang Khun Si, Bangkok Noi, Bangkok 10700",4.20,12.00 - 21.00,0989954803,อาหารอีสานอร่อย ของย่างดีมากๆๆ ส้มตำปลาร้าอร่อยมาก ไม่อยากคนเยอะๆแนะนำให้มาก่อน 6โมงเย็นค่ะ
52,อีสานลาบแซ่บ,อาหารอีสาน,กรุงเทพมหานคร,"Arun Amarin, Bangkok Noi, Bangkok 10700",4.20,11.00 - 23.00,0985694553,คุณภาพเกินราคา
53,อีสานมุมเมา,อาหารอีสาน,กรุงเทพมหานคร,"455/69 ซอย จรัญสนิทวงศ์ 35 Charan Sanit Wong Rd, Bang Khun Si, Bangkok Noi, Bangkok 10700",3.50,17.00 - 00.30,0867576886,"อาหารอร่อย นั่งสบาย เอาเครื่องดื่มมากินได้(ถ้าในร้านไม่มีขาย)
ราคาน่ารัก(คุยกันได้45-70บ.)"
54,เจ๊เก๋ ตำซ่า ตำแซ่บ,อาหารอีสาน,พิษณุโลก,"99/8, ถนนมิตรภาพ, สมอแข, อำเภอเมืองพิษณุโลก, พิษณุโลก, 65000, ประเทศไทย",4.00,10:00 - 18:00,0918379919,ร้านส้มตำริมถนนขาออกจากเมืองพิษณุโลก ขับผ่านทีไรคนเยอะแบบล้นๆเวอร์วังอลังการมาก ที่จอดรถกว้างขวาง เข้าไปด้านในคนมหาศาล มีเป็นซุ้มๆให้นั่ง มีอาหารให้เลือกมากมาย หากมาช่วงเที่ยงหรือเสาร์อาทิตย์คิวค่อนข้างยาว ต้องจับบัตรคิว มีที่นั่ง2โซน ด้านหน้าและด้านหลัง ด้านหลังควันจากการย่างค่อนข้างโฉยโขมงไปทางด้านหลัง อาหารมีให้เลือกมากอ่านในใบติ๊กเลือกเองได้เลย  ส้มตำรสชาติเข้มข้นออกไปทางติดหวาน อาหารอื่นๆก็ให้ปริมาณที่เหมาะสมกับราคา น้ำดื่มบริการตัวเอง
55,เจ้กานต์ อาหารอีสาน,อาหารอีสาน,กรุงเทพมหานคร,"95/4 Borommaratchachonnani 17 Alley, Arun Amarin, Bangkok Noi, Bangkok 10700",3.00,11:00 - 14:30,0831791544 ,ทีเด็ดอยู่ที่ไก่ทอด กรอบ กำลังดี ต้มแซ่บกระดูกอ่อน น้ำซุปเปรี๊ยวจี๊ดจ๊าด ลาบปลาหมึก อร่อย หอมกลิ่นมะนาว ที่นั่งค่อนข้างจำกัด ส้มตำรสชาดโอเค มีหลากหลายให้เลือกทั้งตำแตง ตำปูม้า ตำซั่ว โดยรวมแล้วถือว่าผ่าน อ่านต่อได้ที่
56,ร้านอีสานแซ่บ,อาหารอีสาน,กรุงเทพมหานคร,"14/5 หมู่ 8 Khwaeng Taling Chan, Taling Chan, Bangkok 10170",4.50,17:30 - 22:30,0879356900,ต้มแซ่บเนื้ออร่อย น้ำตกดี เนื้อย่างธรรมดา ไก่ย่างอร่อย มีทั้งข้าวเหนียวและข้าวสวย ที่จอดรถหายาก
57,สวนอาหารกกขาม,อาหารอีสาน,อุบลราชธานี,คำน้ำแซบ อำเภอวารินชำราบ อุบลราชธานี 34190,3.60,10:00 - 22:00,0898619532,มาทานไม่บ่อยเท่าไหร่​ แต่ถ้ามีโอกาสมาทำงานที่อุบล​ก็​จะ​แวะ​มา​บ้าง ทานมานานกว่า 15 ปีแล้ว ที่อร่อยจะมีแค่ 4 อย่างถือเป็น​ signature dishes ได้เลย คือ ปิ้ง​หมู​ ปิ้ง​ปลา​ ใส้กรอก​อิสาน​ และหลามปลา นอกนั้นไม่โอเลย หนนี้มากับลูกน้องเลย​ปล่อย​ให้ลูกน้องสั่ง ต้มยำ​ปลาคัง ส้มตำ​ น้ำตก​เป็ด ไม่โอและแย่ด้วย แนะนำเฉพาะ signature นะครับ​จะได้ไม่ผิดหวัง​
58,เลิฟสเต็ก อยุธยา,"อาหารอีสาน, สเต็ก",พระนครศรีอยุธยา,ตำบลคลองสวนพลู อำเภอ พระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,3.60,09:00 - 21:30,0839951194,"ร้านสวยสะอาดนั่งสบายมีทั้งโซนห้องแอร์และในสวน
หลากหลายเมนู หลากหลายสไตล์และรสชาติ
มีทั้งบรรยากาศในสวนเขียวๆ อากาศสดชื่นๆ
หรือจะห้องแอร์ฉ่ำๆ ก็มีบริการครับ

ร้านรวงจัดไว้สวยจริงๆครับ
ร้านอาหารอยู่ด้านในร้านต้นไม้เลย
สามารถจอดรถหน้าร้านต้นไม้ได้เลยครับ

เดินเข้ามาด้านในชอบสไตล์การตกแต่งร้านมากๆ มันสบายตา เย็นตาไปหมด

สเต๊กอร่อย อาหารอีสานก็แซ่บครับผม

ราคาถูกเลย ไม่แพง ชอบครับ"
59,ร้านลาบป้าตุ๊ อาหารอีสาน(วัดประยูร),อาหารอีสาน,กรุงเทพมหานคร,แขวงวัดกัลยา เขตธนบุรี กรุงเทพมหานคร 10600,4.90,10:00 - 15:00,0890127193,คิดถึงเนื้อย่าง เสือร้องไห้ นึกถึงป้าตุ๊ วันนี้โชคดีที่โทรมาสั่งก่อน เพราะมาถึงรอซักพักกว่าจะได้ เนื้อย่างคือที่สุด สั่งทานที่ร้านเเล้วก็ต้องสั่งกลับ หมูแดดเดียวของทางร้านป้าหมักเองทำเองอร่อยมากๆ ต้มแซ่บเนื้อรสชาติดีมีเนื้อลายใส่มาด้วย คุ้มค่ามากๆ แนะนำเลย
60,สวนอาหารคิดถึง,อาหารอีสาน,ชัยภูมิ,V3GW+X96 ตำบล บ้านเล่า อำเภอเมืองชัยภูมิ ชัยภูมิ 36000,4.50,10:00 - 16:30,0819775830,ครั้งนึงเคยมา แล้วผิดหวังกับเมนูนึ่งไก่ เพราะลุงเจ้าของร้านบอกว่ามันใช้เวลานาน ต้องโทมาสั่งก่อนล่วงหน้า ครั้งนี้เลยจัดซะ โทมาสั่งไว้รอเลย สมคำล่ำลือจริงๆ อร่อยมากไก่นึ่งเป็นตัวๆ ราคาไม่แพงด้วย วันนี้เลยสั่งเพิ่มเป็นไก่ผัดหน่อไม้ดอง กับส้มตำลาว รสอาจไม่เด่ดสู้นึ่งไก่และต้มไก่ ได้ จุดเด่ดที่นี่ คือ อาหารประเภทไก่ .. ต้องลอง คอนเฟริม บวกกับอากาศใต้ร่มเงาไม้ เย็นสบาย จริงๆ
